Title,Authors,Published Date,Abstract,URL,Official Categories,Categories_0.5,Categories_0.6,Categories_0.7,Categories_0.8,Categories_0.9
DELTA: Decomposed Efficient Long-Term Robot Task Planning using Large Language Models,"Yuchen Liu, Luigi Palmieri, Sebastian Koch, Ilche Georgievski, Marco Aiello",2024-04-04,"Recent advancements in Large Language Models (LLMs) have sparked a revolution across various research fields. In particular, the integration of common-sense knowledge from LLMs into robot task and motion planning has been proven to be a game-changer, elevating performance in terms of explainability and downstream task efficiency to unprecedented heights. However, managing the vast knowledge encapsulated within these large models has posed challenges, often resulting in infeasible plans generated by LLM-based planning systems due to hallucinations or missing domain information. To overcome these challenges and obtain even greater planning feasibility and computational efficiency, we propose a novel LLM-driven task planning approach called DELTA. For achieving better grounding from environmental topology into actionable knowledge, DELTA leverages the power of scene graphs as environment representations within LLMs, enabling the fast generation of precise planning problem descriptions. For obtaining higher planning performance, we use LLMs to decompose the long-term task goals into an autoregressive sequence of sub-goals for an automated task planner to solve. Our contribution enables a more efficient and fully automatic task planning pipeline, achieving higher planning success rates and significantly shorter planning times compared to the state of the art.",http://arxiv.org/abs/2404.03275v1,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'plan-generation', 'language-translation', 'interactive-planning']",['Unclassified']
A Survey of Optimization-based Task and Motion Planning: From Classical To Learning Approaches,"Zhigen Zhao, Shuo Cheng, Yan Ding, Ziyi Zhou, Shiqi Zhang, Danfei Xu, Ye Zhao",2024-04-03,"Task and Motion Planning (TAMP) integrates high-level task planning and low-level motion planning to equip robots with the autonomy to effectively reason over long-horizon, dynamic tasks. Optimization-based TAMP focuses on hybrid optimization approaches that define goal conditions via objective functions and are capable of handling open-ended goals, robotic dynamics, and physical interaction between the robot and the environment. Therefore, optimization-based TAMP is particularly suited to solve highly complex, contact-rich locomotion and manipulation problems. This survey provides a comprehensive review on optimization-based TAMP, covering (i) planning domain representations, including action description languages and temporal logic, (ii) individual solution strategies for components of TAMP, including AI planning and trajectory optimization (TO), and (iii) the dynamic interplay between logic-based task planning and model-based TO. A particular focus of this survey is to highlight the algorithm structures to efficiently solve TAMP, especially hierarchical and distributed approaches. Additionally, the survey emphasizes the synergy between the classical methods and contemporary learning-based innovations such as large language models. Furthermore, the future research directions for TAMP is discussed in this survey, highlighting both algorithmic and application-specific challenges.",http://arxiv.org/abs/2404.02817v4,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']",['plan-generation'],['Unclassified'],['Unclassified']
Large Language Models as Planning Domain Generators,"James Oswald, Kavitha Srinivas, Harsha Kokel, Junkyu Lee, Michael Katz, Shirin Sohrabi",2024-04-02,"Developing domain models is one of the few remaining places that require manual human labor in AI planning. Thus, in order to make planning more accessible, it is desirable to automate the process of domain model generation. To this end, we investigate if large language models (LLMs) can be used to generate planning domain models from simple textual descriptions. Specifically, we introduce a framework for automated evaluation of LLM-generated domains by comparing the sets of plans for domain instances. Finally, we perform an empirical analysis of 7 large language models, including coding and chat models across 9 different planning domains, and under three classes of natural language domain descriptions. Our results indicate that LLMs, particularly those with high parameter counts, exhibit a moderate level of proficiency in generating correct planning domains from natural language descriptions. Our code is available at https://github.com/IBM/NL2PDDL.",http://arxiv.org/abs/2405.06650v1,"cs.CL, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'model-construction', 'interactive-planning', 'plan-generation']",['Unclassified'],['Unclassified']
TwoStep: Multi-agent Task Planning using Classical Planners and Large Language Models,"Ishika Singh, David Traum, Jesse Thomason",2024-03-25,"Classical planning formulations like the Planning Domain Definition Language (PDDL) admit action sequences guaranteed to achieve a goal state given an initial state if any are possible. However, reasoning problems defined in PDDL do not capture temporal aspects of action taking, for example that two agents in the domain can execute an action simultaneously if postconditions of each do not interfere with preconditions of the other. A human expert can decompose a goal into largely independent constituent parts and assign each agent to one of these subgoals to take advantage of simultaneous actions for faster execution of plan steps, each using only single agent planning. By contrast, large language models (LLMs) used for directly inferring plan steps do not guarantee execution success, but do leverage commonsense reasoning to assemble action sequences. We combine the strengths of classical planning and LLMs by approximating human intuitions for two-agent planning goal decomposition. We demonstrate that LLM-based goal decomposition leads to faster planning times than solving multi-agent PDDL problems directly while simultaneously achieving fewer plan execution steps than a single agent plan alone and preserving execution success. Additionally, we find that LLM-based approximations of subgoals can achieve similar multi-agent execution steps than those specified by human experts. Website and resources at https://glamor-usc.github.io/twostep",http://arxiv.org/abs/2403.17246v1,"cs.AI, cs.CL, cs.MA, cs.RO","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']",['language-translation'],['Unclassified']
LLM3:Large Language Model-based Task and Motion Planning with Motion Failure Reasoning,"Shu Wang, Muzhi Han, Ziyuan Jiao, Zeyu Zhang, Ying Nian Wu, Song-Chun Zhu, Hangxin Liu",2024-03-18,"Conventional Task and Motion Planning (TAMP) approaches rely on manually crafted interfaces connecting symbolic task planning with continuous motion generation. These domain-specific and labor-intensive modules are limited in addressing emerging tasks in real-world settings. Here, we present LLM^3, a novel Large Language Model (LLM)-based TAMP framework featuring a domain-independent interface. Specifically, we leverage the powerful reasoning and planning capabilities of pre-trained LLMs to propose symbolic action sequences and select continuous action parameters for motion planning. Crucially, LLM^3 incorporates motion planning feedback through prompting, allowing the LLM to iteratively refine its proposals by reasoning about motion failure. Consequently, LLM^3 interfaces between task planning and motion planning, alleviating the intricate design process of handling domain-specific messages between them. Through a series of simulations in a box-packing domain, we quantitatively demonstrate the effectiveness of LLM^3 in solving TAMP problems and the efficiency in selecting action parameters. Ablation studies underscore the significant contribution of motion failure reasoning to the success of LLM^3. Furthermore, we conduct qualitative experiments on a physical manipulator, demonstrating the practical applicability of our approach in real-world settings.",http://arxiv.org/abs/2403.11552v3,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['plan-generation', 'language-translation']",['Unclassified'],['Unclassified']
Beyond A*: Better Planning with Transformers via Search Dynamics Bootstrapping,"Lucas Lehnert, Sainbayar Sukhbaatar, DiJia Su, Qinqing Zheng, Paul Mcvay, Michael Rabbat, Yuandong Tian",2024-02-21,"While Transformers have enabled tremendous progress in various application settings, such architectures still trail behind traditional symbolic planners for solving complex decision making tasks. In this work, we demonstrate how to train Transformers to solve complex planning tasks. This is accomplished by training an encoder-decoder Transformer model to predict the search dynamics of the $A^*$ search algorithm. We fine tune this model to obtain a Searchformer, a Transformer model that optimally solves previously unseen Sokoban puzzles 93.7% of the time, while using up to 26.8% fewer search steps than the $A^*$ implementation that was used for training initially. In our training method, $A^*$'s search dynamics are expressed as a token sequence outlining when task states are added and removed into the search tree during symbolic planning. Searchformer significantly outperforms baselines that predict the optimal plan directly with a 5-10$\times$ smaller model size and a 10$\times$ smaller training dataset. Lastly, we demonstrate how Searchformer scales to larger and more complex decision making tasks with improved percentage of solved tasks and shortened search dynamics.",http://arxiv.org/abs/2402.14083v2,cs.AI,"['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'plan-generation']",['Unclassified'],['Unclassified'],['Unclassified']
AutoGPT+P: Affordance-based Task Planning with Large Language Models,"Timo Birr, Christoph Pohl, Abdelrahman Younes, Tamim Asfour",2024-02-16,"Recent advances in task planning leverage Large Language Models (LLMs) to improve generalizability by combining such models with classical planning algorithms to address their inherent limitations in reasoning capabilities. However, these approaches face the challenge of dynamically capturing the initial state of the task planning problem. To alleviate this issue, we propose AutoGPT+P, a system that combines an affordance-based scene representation with a planning system. Affordances encompass the action possibilities of an agent on the environment and objects present in it. Thus, deriving the planning domain from an affordance-based scene representation allows symbolic planning with arbitrary objects. AutoGPT+P leverages this representation to derive and execute a plan for a task specified by the user in natural language. In addition to solving planning tasks under a closed-world assumption, AutoGPT+P can also handle planning with incomplete information, e. g., tasks with missing objects by exploring the scene, suggesting alternatives, or providing a partial plan. The affordance-based scene representation combines object detection with an automatically generated object-affordance-mapping using ChatGPT. The core planning tool extends existing work by automatically correcting semantic and syntactic errors. Our approach achieves a success rate of 98%, surpassing the current 81% success rate of the current state-of-the-art LLM-based planning method SayCan on the SayCan instruction set. Furthermore, we evaluated our approach on our newly created dataset with 150 scenarios covering a wide range of complex tasks with missing objects, achieving a success rate of 79% on our dataset. The dataset and the code are publicly available at https://git.h2t.iar.kit.edu/birr/autogpt-p-standalone.",http://arxiv.org/abs/2402.10778v2,"cs.RO, cs.AI, I.2","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'model-construction', 'interactive-planning', 'plan-generation']",['Unclassified'],['Unclassified']
LoTa-Bench: Benchmarking Language-oriented Task Planners for Embodied Agents,"Jae-Woo Choi, Youngwoo Yoon, Hyobin Ong, Jaehong Kim, Minsu Jang",2024-02-13,"Large language models (LLMs) have recently received considerable attention as alternative solutions for task planning. However, comparing the performance of language-oriented task planners becomes difficult, and there exists a dearth of detailed exploration regarding the effects of various factors such as pre-trained model selection and prompt construction. To address this, we propose a benchmark system for automatically quantifying performance of task planning for home-service embodied agents. Task planners are tested on two pairs of datasets and simulators: 1) ALFRED and AI2-THOR, 2) an extension of Watch-And-Help and VirtualHome. Using the proposed benchmark system, we perform extensive experiments with LLMs and prompts, and explore several enhancements of the baseline planner. We expect that the proposed benchmark tool would accelerate the development of language-oriented task planners.",http://arxiv.org/abs/2402.08178v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['tool-integration', 'plan-generation', 'language-translation', 'interactive-planning']",['plan-generation'],['Unclassified']
"TIC: Translate-Infer-Compile for accurate ""text to plan"" using LLMs and Logical Representations","Sudhir Agarwal, Anu Sreepathy",2024-02-09,"We study the problem of generating plans for given natural language planning task requests. On one hand, LLMs excel at natural language processing but do not perform well on planning. On the other hand, classical planning tools excel at planning tasks but require input in a structured language such as the Planning Domain Definition Language (PDDL). We leverage the strengths of both the techniques by using an LLM for generating the PDDL representation (task PDDL) of planning task requests followed by using a classical planner for computing a plan. Unlike previous approaches that use LLMs for generating task PDDLs directly, our approach comprises of (a) translate: using an LLM only for generating a logically interpretable intermediate representation of natural language task description, (b) infer: deriving additional logically dependent information from the intermediate representation using a logic reasoner (currently, Answer Set Programming solver), and (c) compile: generating the target task PDDL from the base and inferred information. We observe that using an LLM to only output the intermediate representation significantly reduces LLM errors. Consequently, TIC approach achieves, for at least one LLM, high accuracy on task PDDL generation for all seven domains of our evaluation dataset.",http://arxiv.org/abs/2402.06608v2,"cs.CL, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['plan-generation', 'model-construction', 'language-translation', 'interactive-planning']",['language-translation'],['Unclassified']
Consolidating Trees of Robotic Plans Generated Using Large Language Models to Improve Reliability,"Md Sadman Sakib, Yu Sun",2024-01-15,"The inherent probabilistic nature of Large Language Models (LLMs) introduces an element of unpredictability, raising concerns about potential discrepancies in their output. This paper introduces an innovative approach aims to generate correct and optimal robotic task plans for diverse real-world demands and scenarios. LLMs have been used to generate task plans, but they are unreliable and may contain wrong, questionable, or high-cost steps. The proposed approach uses LLM to generate a number of task plans as trees and amalgamates them into a graph by removing questionable paths. Then an optimal task tree can be retrieved to circumvent questionable and high-cost nodes, thereby improving planning accuracy and execution efficiency. The approach is further improved by incorporating a large knowledge network. Leveraging GPT-4 further, the high-level task plan is converted into a low-level Planning Domain Definition Language (PDDL) plan executable by a robot. Evaluation results highlight the superior accuracy and efficiency of our approach compared to previous methodologies in the field of task planning.",http://arxiv.org/abs/2401.07868v1,"cs.RO, cs.AI, cs.CL","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['plan-generation', 'language-translation']",['Unclassified']
"Large Language Models for Robotics: Opportunities, Challenges, and Perspectives","Jiaqi Wang, Zihao Wu, Yiwei Li, Hanqi Jiang, Peng Shu, Enze Shi, Huawen Hu, Chong Ma, Yiheng Liu, Xuhui Wang, Yincheng Yao, Xuan Liu, Huaqin Zhao, Zhengliang Liu, Haixing Dai, Lin Zhao, Bao Ge, Xiang Li, Tianming Liu, Shu Zhang",2024-01-09,"Large language models (LLMs) have undergone significant expansion and have been increasingly integrated across various domains. Notably, in the realm of robot task planning, LLMs harness their advanced reasoning and language comprehension capabilities to formulate precise and efficient action plans based on natural language instructions. However, for embodied tasks, where robots interact with complex environments, text-only LLMs often face challenges due to a lack of compatibility with robotic visual perception. This study provides a comprehensive overview of the emerging integration of LLMs and multimodal LLMs into various robotic tasks. Additionally, we propose a framework that utilizes multimodal GPT-4V to enhance embodied task planning through the combination of natural language instructions and robot visual perceptions. Our results, based on diverse datasets, indicate that GPT-4V effectively enhances robot performance in embodied tasks. This extensive survey and evaluation of LLMs and multimodal LLMs across a variety of robotic tasks enriches the understanding of LLM-centric embodied intelligence and provides forward-looking insights toward bridging the gap in Human-Robot-Environment interaction.",http://arxiv.org/abs/2401.04334v1,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['plan-generation', 'model-construction', 'language-translation', 'interactive-planning']",['Unclassified'],['Unclassified']
On the Prospects of Incorporating Large Language Models (LLMs) in Automated Planning and Scheduling (APS),"Vishal Pallagani, Kaushik Roy, Bharath Muppasani, Francesco Fabiano, Andrea Loreggia, Keerthiram Murugesan, Biplav Srivastava, Francesca Rossi, Lior Horesh, Amit Sheth",2024-01-04,"Automated Planning and Scheduling is among the growing areas in Artificial Intelligence (AI) where mention of LLMs has gained popularity. Based on a comprehensive review of 126 papers, this paper investigates eight categories based on the unique applications of LLMs in addressing various aspects of planning problems: language translation, plan generation, model construction, multi-agent planning, interactive planning, heuristics optimization, tool integration, and brain-inspired planning. For each category, we articulate the issues considered and existing gaps. A critical insight resulting from our review is that the true potential of LLMs unfolds when they are integrated with traditional symbolic planners, pointing towards a promising neuro-symbolic approach. This approach effectively combines the generative aspects of LLMs with the precision of classical planning methods. By synthesizing insights from existing literature, we underline the potential of this integration to address complex planning challenges. Our goal is to encourage the ICAPS community to recognize the complementary strengths of LLMs and symbolic planners, advocating for a direction in automated planning that leverages these synergistic capabilities to develop more advanced and intelligent planning systems.",http://arxiv.org/abs/2401.02500v2,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'brain-inspired-planning', 'plan-generation', 'language-translation']",['Unclassified'],['Unclassified']
Look Before You Leap: Unveiling the Power of GPT-4V in Robotic Vision-Language Planning,"Yingdong Hu, Fanqi Lin, Tong Zhang, Li Yi, Yang Gao",2023-11-29,"In this study, we are interested in imbuing robots with the capability of physically-grounded task planning. Recent advancements have shown that large language models (LLMs) possess extensive knowledge useful in robotic tasks, especially in reasoning and planning. However, LLMs are constrained by their lack of world grounding and dependence on external affordance models to perceive environmental information, which cannot jointly reason with LLMs. We argue that a task planner should be an inherently grounded, unified multimodal system. To this end, we introduce Robotic Vision-Language Planning (ViLa), a novel approach for long-horizon robotic planning that leverages vision-language models (VLMs) to generate a sequence of actionable steps. ViLa directly integrates perceptual data into its reasoning and planning process, enabling a profound understanding of commonsense knowledge in the visual world, including spatial layouts and object attributes. It also supports flexible multimodal goal specification and naturally incorporates visual feedback. Our extensive evaluation, conducted in both real-robot and simulated environments, demonstrates ViLa's superiority over existing LLM-based planners, highlighting its effectiveness in a wide array of open-world manipulation tasks.",http://arxiv.org/abs/2311.17842v2,"cs.RO, cs.AI, cs.CL, cs.CV, cs.LG","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'language-translation', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['plan-generation', 'model-construction', 'language-translation']",['Unclassified']
Can LLMs Fix Issues with Reasoning Models? Towards More Likely Models for AI Planning,"Turgay Caglar, Sirine Belhaj, Tathagata Chakraborti, Michael Katz, Sarath Sreedharan",2023-11-22,"This is the first work to look at the application of large language models (LLMs) for the purpose of model space edits in automated planning tasks. To set the stage for this union, we explore two different flavors of model space problems that have been studied in the AI planning literature and explore the effect of an LLM on those tasks. We empirically demonstrate how the performance of an LLM contrasts with combinatorial search (CS) -- an approach that has been traditionally used to solve model space tasks in planning, both with the LLM in the role of a standalone model space reasoner as well as in the role of a statistical signal in concert with the CS approach as part of a two-stage process. Our experiments show promising results suggesting further forays of LLMs into the exciting world of model space reasoning for planning tasks in the future.",http://arxiv.org/abs/2311.13720v2,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'plan-generation', 'model-construction', 'language-translation']",['Unclassified'],['Unclassified']
Physical Reasoning and Object Planning for Household Embodied Agents,"Ayush Agrawal, Raghav Prabhakar, Anirudh Goyal, Dianbo Liu",2023-11-22,"In this study, we explore the sophisticated domain of task planning for robust household embodied agents, with a particular emphasis on the intricate task of selecting substitute objects. We introduce the CommonSense Object Affordance Task (COAT), a novel framework designed to analyze reasoning capabilities in commonsense scenarios. This approach is centered on understanding how these agents can effectively identify and utilize alternative objects when executing household tasks, thereby offering insights into the complexities of practical decision-making in real-world environments.Drawing inspiration from human decision-making, we explore how large language models tackle this challenge through three meticulously crafted commonsense question-and-answer datasets, featuring refined rules and human annotations. Our evaluation of state-of-the-art language models on these datasets sheds light on three pivotal considerations: 1) aligning an object's inherent utility with the task at hand, 2) navigating contextual dependencies (societal norms, safety, appropriateness, and efficiency), and 3) accounting for the current physical state of the object. To maintain accessibility, we introduce five abstract variables reflecting an object's physical condition, modulated by human insights to simulate diverse household scenarios. Our contributions include insightful Object-Utility mappings addressing the first consideration and two extensive QA datasets (15k and 130k questions) probing the intricacies of contextual dependencies and object states. The datasets, along with our findings, are accessible at: \url{https://github.com/com-phy-affordance/COAT}. This research not only advances our understanding of physical commonsense reasoning in language models but also paves the way for future improvements in household agent intelligence.",http://arxiv.org/abs/2311.13577v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['plan-generation', 'model-construction', 'language-translation', 'interactive-planning']",['plan-generation'],['Unclassified'],['Unclassified']
TPTU-v2: Boosting Task Planning and Tool Usage of Large Language Model-based Agents in Real-world Systems,"Yilun Kong, Jingqing Ruan, Yihong Chen, Bin Zhang, Tianpeng Bao, Shiwei Shi, Guoqing Du, Xiaoru Hu, Hangyu Mao, Ziyue Li, Xingyu Zeng, Rui Zhao",2023-11-19,"Large Language Models (LLMs) have demonstrated proficiency in addressing tasks that necessitate a combination of task planning and the usage of external tools that require a blend of task planning and the utilization of external tools, such as APIs. However, real-world complex systems present three prevalent challenges concerning task planning and tool usage: (1) The real system usually has a vast array of APIs, so it is impossible to feed the descriptions of all APIs to the prompt of LLMs as the token length is limited; (2) the real system is designed for handling complex tasks, and the base LLMs can hardly plan a correct sub-task order and API-calling order for such tasks; (3) Similar semantics and functionalities among APIs in real systems create challenges for both LLMs and even humans in distinguishing between them. In response, this paper introduces a comprehensive framework aimed at enhancing the Task Planning and Tool Usage (TPTU) abilities of LLM-based agents operating within real-world systems. Our framework comprises three key components designed to address these challenges: (1) the API Retriever selects the most pertinent APIs for the user task among the extensive array available; (2) LLM Finetuner tunes a base LLM so that the finetuned LLM can be more capable for task planning and API calling; (3) the Demo Selector adaptively retrieves different demonstrations related to hard-to-distinguish APIs, which is further used for in-context learning to boost the final performance. We validate our methods using a real-world commercial system as well as an open-sourced academic dataset, and the outcomes clearly showcase the efficacy of each individual component as well as the integrated framework.",http://arxiv.org/abs/2311.11315v1,cs.AI,"['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']",['tool-integration'],['Unclassified'],['Unclassified']
AutoPlanBench: Automatically generating benchmarks for LLM planners from PDDL,"Katharina Stein, Daniel Fišer, Jörg Hoffmann, Alexander Koller",2023-11-16,"LLMs are being increasingly used for planning-style tasks, but their capabilities for planning and reasoning are poorly understood. We present AutoPlanBench, a novel method for automatically converting planning benchmarks written in PDDL into textual descriptions and offer a benchmark dataset created with our method. We show that while the best LLM planners do well on some planning tasks, others remain out of reach of current methods.",http://arxiv.org/abs/2311.09830v2,"cs.AI, cs.CL","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']","['plan-generation', 'language-translation']",['Unclassified'],['Unclassified']
From Cooking Recipes to Robot Task Trees -- Improving Planning Correctness and Task Efficiency by Leveraging LLMs with a Knowledge Network,"Md Sadman Sakib, Yu Sun",2023-09-17,"Task planning for robotic cooking involves generating a sequence of actions for a robot to prepare a meal successfully. This paper introduces a novel task tree generation pipeline producing correct planning and efficient execution for cooking tasks. Our method first uses a large language model (LLM) to retrieve recipe instructions and then utilizes a fine-tuned GPT-3 to convert them into a task tree, capturing sequential and parallel dependencies among subtasks. The pipeline then mitigates the uncertainty and unreliable features of LLM outputs using task tree retrieval. We combine multiple LLM task tree outputs into a graph and perform a task tree retrieval to avoid questionable nodes and high-cost nodes to improve planning correctness and improve execution efficiency. Our evaluation results show its superior performance compared to previous works in task planning accuracy and efficiency.",http://arxiv.org/abs/2309.09181v1,"cs.RO, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'model-construction', 'multiagent-planning', 'interactive-planning', 'plan-generation']","['language-translation', 'brain-inspired-planning', 'model-construction', 'interactive-planning', 'plan-generation']",['language-translation'],['language-translation'],['language-translation']
Recommender AI Agent: Integrating Large Language Models for Interactive Recommendations,"Xu Huang, Jianxun Lian, Yuxuan Lei, Jing Yao, Defu Lian, Xing Xie",2023-08-31,"Recommender models excel at providing domain-specific item recommendations by leveraging extensive user behavior data. Despite their ability to act as lightweight domain experts, they struggle to perform versatile tasks such as providing explanations and engaging in conversations. On the other hand, large language models (LLMs) represent a significant step towards artificial general intelligence, showcasing remarkable capabilities in instruction comprehension, commonsense reasoning, and human interaction. However, LLMs lack the knowledge of domain-specific item catalogs and behavioral patterns, particularly in areas that diverge from general world knowledge, such as online e-commerce. Finetuning LLMs for each domain is neither economic nor efficient. In this paper, we bridge the gap between recommender models and LLMs, combining their respective strengths to create a versatile and interactive recommender system. We introduce an efficient framework called \textbf{InteRecAgent}, which employs LLMs as the brain and recommender models as tools. We first outline a minimal set of essential tools required to transform LLMs into InteRecAgent. We then propose an efficient workflow within InteRecAgent for task execution, incorporating key components such as memory components, dynamic demonstration-augmented task planning, and reflection. InteRecAgent enables traditional recommender systems, such as those ID-based matrix factorization models, to become interactive systems with a natural language interface through the integration of LLMs. Experimental results on several public datasets show that InteRecAgent achieves satisfying performance as a conversational recommender system, outperforming general-purpose LLMs. The source code of InteRecAgent is released at https://aka.ms/recagent.",http://arxiv.org/abs/2308.16505v3,"cs.IR, cs.AI","['heuristics-optimization', 'tool-integration', 'language-translation', 'brain-inspired-planning', 'interactive-planning', 'plan-generation']",['Unclassified'],['Unclassified'],['Unclassified'],['Unclassified']
